timestamp,elapsed_s,side,event,price,total_qty,fresh,at_bbo,dist_bbo_ticks,duration_s,gap_s,mid,dist_mid_abs,dist_mid_pct,bn_mid,cb_mid,ext_venue,tm_ref_basis,peg_cb,side_rule_ok,edge_bn,edge_cb,pre_drift_ext,pre_toward_ext,life_drift_ext,life_toward_ext,drift_1s,drift_5s,drift_15s,ext_drift_1s,ext_drift_5s,ext_drift_15s
1783714005.226135,0.977,bid,APPEAR,63808.0,0.01,,False,1340,,,63945.35,-137.35,-0.214793,,,,,,,,,,,,,,,,,,
1783714007.560183,3.311,bid,APPEAR,63812.5,0.01,True,False,1295,,,63945.35,-132.85,-0.207756,,63813.24,coinbase,132.11,-0.74,True,,0.74,4.845,-4.845,,,,,,,,
1783714007.560183,3.311,bid,CANCEL?,63808.0,0.0,,False,,2.334,,63945.35,-137.35,-0.214793,,,,,,,,,,,,,,,,,,
1783714010.558423,6.3093,bid,CANCEL?,63812.5,0.0,,False,,2.9982,,63945.35,-132.85,-0.207756,,,coinbase,,,,,,,,-1.245,1.245,,,,,,
1783714010.558423,6.3093,bid,APPEAR,63812.0,0.01,True,False,1300,,0.0,63945.35,-133.35,-0.208537,,63811.995,coinbase,133.355,0.005,True,,-0.005,0.0,-0.0,,,,,,,,
1783714016.8421319,12.593,bid,CANCEL?,63812.0,0.0,,False,,6.2837,,63945.35,-133.35,-0.208537,,,coinbase,,,,,,,,-3.59,3.59,,,,,,
1783714016.8421319,12.593,bid,APPEAR,63809.0,0.01,True,False,1330,,0.0,63945.35,-136.35,-0.213229,,63808.405,coinbase,136.945,0.595,True,,-0.595,-1.13,1.13,,,,,,,,
1783714019.5588632,15.3097,bid,CANCEL?,63809.0,0.0,,False,,2.7167,,63945.35,-136.35,-0.213229,,,coinbase,,,,,,,,-0.01,0.01,,,,,,
1783714019.5588632,15.3097,bid,APPEAR,63808.0,0.01,True,False,1340,,0.0,63945.35,-137.35,-0.214793,,63808.395,coinbase,136.955,-0.395,True,,0.395,-0.01,0.01,,,,,,,,
1783714022.558641,18.3095,bid,THESIS,63808.0,,,False,,,,63945.35,,,,,,,,,,,,,,,0.0,0.0,0.0,,,
1783714023.558583,19.3094,bid,THESIS,63812.5,,,False,,,,63945.35,,,,,coinbase,,,,,,,,,,0.0,0.0,0.0,-1.245,-3.705,-6.045
1783714024.558448,20.3093,bid,CANCEL?,63808.0,0.0,,False,,4.9996,,63945.35,-137.35,-0.214793,,,coinbase,,,,,,,,-1.2,1.2,,,,,,
1783714024.558448,20.3093,bid,APPEAR,63807.0,0.01,True,False,1350,,0.0,63945.35,-138.35,-0.216357,,63807.195,coinbase,138.155,-0.195,True,,0.195,0.0,-0.0,,,,,,,,
1783714029.5592399,25.3101,bid,THESIS,63812.0,,,False,,,,63945.35,,,,,coinbase,,,,,,,,,,0.0,0.0,0.0,-2.46,-3.59,-5.235
1783714031.55894,27.3098,bid,CANCEL?,63807.0,0.0,,False,,7.0005,,63945.35,-138.35,-0.216357,,,coinbase,,,,,,,,-1.63,1.63,,,,,,
1783714031.55894,27.3098,bid,APPEAR,63805.5,0.01,True,False,1365,,0.0,63945.35,-139.85,-0.218702,,63805.565,coinbase,139.785,-0.065,True,,0.065,1.075,-1.075,,,,,,,,
1783714032.559336,28.3102,bid,THESIS,63809.0,,,False,,,,63945.35,,,,,coinbase,,,,,,,,,,0.0,0.0,0.0,0.0,-1.385,-2.84
1783714036.556886,32.3077,bid,APPEAR,63806.0,0.01,True,False,1360,,4.9979,63945.35,-139.35,-0.21792,,63805.995,coinbase,139.355,0.005,True,,-0.005,0.0,-0.0,,,,,,,,
1783714036.556886,32.3077,bid,CANCEL?,63805.5,0.0,,False,,4.9979,,63945.35,-139.85,-0.218702,,,coinbase,,,,,,,,0.43,-0.43,,,,,,
1783714036.556886,32.3077,bid,THESIS,63808.0,,,False,,,,63945.35,,,,,coinbase,,,,,,,,,,0.0,0.0,0.0,-1.375,-1.635,-2.4
1783714039.558197,35.3091,bid,APPEAR,63806.5,0.01,True,False,1355,,3.0013,63945.35,-138.85,-0.217139,,63806.415,coinbase,138.935,0.085,True,,-0.085,0.0,-0.0,,,,,,,,
