trade,side,price,qty_btc,notional_usd,fee_usd,cash_usd,btc,portfolio_value_usd,cum_loss_usd,total_volume_usd
1,buy,60150.0,0.0016625103906899418,100.0,0.04,64.96,0.0016625103906899418,164.7106234413965,0.2893765586034931,100.0
2,sell,59850.0,0.0016625103906899418,99.50124688279303,0.03980049875311721,164.42144638403988,0.0,164.42144638403988,0.5785536159601179,199.50124688279303
3,buy,60150.0,0.0016625103906899418,100.0,0.04,64.38144638403988,0.0016625103906899418,164.1320698254364,0.867930174563611,299.501246882793
4,sell,59850.0,0.0016625103906899418,99.50124688279303,0.03980049875311721,163.84289276807976,0.0,163.84289276807976,1.1571072319202358,399.002493765586
5,buy,60150.0,0.0016625103906899418,100.0,0.04,63.80289276807976,0.0016625103906899418,163.55351620947627,1.4464837905237289,499.002493765586
6,sell,59850.0,0.0016625103906899418,99.50124688279303,0.03980049875311721,163.26433915211965,0.0,163.26433915211965,1.7356608478803537,598.503740648379
7,buy,60150.0,0.0016625103906899418,100.0,0.04,63.22433915211964,0.0016625103906899418,162.97496259351615,2.025037406483847,698.503740648379
8,sell,59850.0,0.0016625103906899418,99.50124688279303,0.03980049875311721,162.68578553615953,0.0,162.68578553615953,2.3142144638404716,798.004987531172
9,buy,60150.0,0.0016625103906899418,100.0,0.04,62.64578553615952,0.0016625103906899418,162.39640897755604,2.6035910224439647,898.004987531172
10,sell,59850.0,0.0016625103906899418,99.50124688279303,0.03980049875311721,162.1072319201994,0.0,162.1072319201994,2.8927680798005895,997.506234413965
11,buy,60150.0,0.0016625103906899418,100.0,0.04,62.067231920199404,0.0016625103906899418,161.81785536159592,3.1821446384040826,1097.506234413965
12,sell,59850.0,0.0016625103906899418,99.50124688279303,0.03980049875311721,161.5286783042393,0.0,161.5286783042393,3.4713216957607074,1197.0074812967582
13,buy,60150.0,0.0016625103906899418,100.0,0.04,61.488678304239286,0.0016625103906899418,161.2393017456358,3.7606982543642005,1297.0074812967582
14,sell,59850.0,0.0016625103906899418,99.50124688279303,0.03980049875311721,160.95012468827917,0.0,160.95012468827917,4.049875311720825,1396.5087281795513
15,buy,60150.0,0.0016625103906899418,100.0,0.04,60.91012468827917,0.0016625103906899418,160.66074812967568,4.339251870324318,1496.5087281795513
16,sell,59850.0,0.0016625103906899418,99.50124688279303,0.03980049875311721,160.37157107231906,0.0,160.37157107231906,4.628428927680943,1596.0099750623444
17,buy,60150.0,0.0016625103906899418,100.0,0.04,60.33157107231905,0.0016625103906899418,160.08219451371556,4.917805486284436,1696.0099750623444
18,sell,59850.0,0.0016625103906899418,99.50124688279303,0.03980049875311721,159.79301745635894,0.0,159.79301745635894,5.206982543641061,1795.5112219451375
